year2,pct_denom
1978,0.18
1979,0.15
1980,0.13
1981,0.11
1982,0.11
1983,0.13
1984,0.09
1985,0.08
1986,0.09
1987,0.12
1988,0.14
1989,0.13
1990,0.12
1991,0.13
1992,0.13
1993,0.14
1994,0.13
1995,0.13
1996,0.11
1997,0.12
1998,0.12
1999,0.12
2000,0.1
2001,0.1
2002,0.07
2003,0.06
2004,0.06
2005,0.07
2006,0.1
2007,0.12
2008,0.11
2009,0.09
2010,0.1
2011,0.12
2012,0.13
2013,0.14
