year2,pct_denom
1978,-0.03
1979,-0.03
1980,-0.14
1981,0
1982,-0.14
1983,-0.17
1984,0.07
1985,-0.03
1986,-0.04
1987,0.03
1988,-0.09
1989,0.11
1990,-0.06
1991,0.01
1992,-0.11
1993,0
1994,-0.04
1995,-0.04
1996,0.07
1997,-0.03
1998,-0.04
1999,-0.02
2000,0.01
2001,0.15
2002,-0.03
2003,-0.21
2004,-0.09
2005,-0.07
2006,-0.06
2007,0
2008,0
2009,-0.01
2010,0.08
2011,0.12
2012,0.03
2013,
