year2,pct_job_creation_continuers
1978,-64.19
1979,-67.01
1980,-78.05
1981,-91.55
1982,-80.65
1983,-70.8
1984,-65.73
1985,-80.12
1986,-89.25
1987,-82.75
1988,-80.66
1989,-79.77
1990,-92.53
1991,-91.28
1992,-88.29
1993,-75.55
1994,-81.43
1995,-87.57
1996,-91.64
1997,-75.56
1998,-79.65
1999,-95.58
2000,-85.99
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
