year2,pct_job_creation_births
1978,2.41
1979,2.1
1980,1.73
1981,1.32
1982,1.84
1983,2.43
1984,1.72
1985,2.03
1986,1.79
1987,1.94
1988,1.78
1989,1.47
1990,1.84
1991,1.77
1992,2.22
1993,2.3
1994,2.19
1995,1.93
1996,1.9
1997,1.93
1998,1.94
1999,1.99
2000,1.49
2001,1.65
2002,1.31
2003,1.99
2004,2.05
2005,2.01
2006,2.17
2007,2.37
2008,2.15
2009,2.42
2010,2.29
2011,2.79
2012,2.53
2013,2.39
