year2,pct_denom
1978,0.15
1979,0.11
1980,-0.01
1981,0.12
1982,-0.02
1983,-0.04
1984,0.16
1985,0.05
1986,0.05
1987,0.15
1988,0.05
1989,0.24
1990,0.06
1991,0.14
1992,0.02
1993,0.14
1994,0.09
1995,0.09
1996,0.18
1997,0.09
1998,0.09
1999,0.1
2000,0.11
2001,0.24
2002,0.05
2003,-0.15
2004,-0.03
2005,0
2006,0.04
2007,0.12
2008,0.11
2009,0.08
2010,0.17
2011,0.24
2012,0.16
2013,
