year2,pct_denom
1978,1.08
1979,1.14
1980,2.83
1981,2.88
1982,3.65
1983,3.51
1984,3.25
1985,4.48
1986,3.67
1987,4.16
1988,3.56
1989,3.86
1990,3.84
1991,3.71
1992,3.39
1993,3.08
1994,3.36
1995,3.16
1996,2.35
1997,2.19
1998,2.74
1999,3.54
2000,3.32
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
