year2,pct_job_creation_births
1978,18.32
1979,19.12
1980,20.34
1981,26.83
1982,21.39
1983,19.52
1984,20.16
1985,10.55
1986,19.92
1987,2.25
1988,28.05
1989,15.04
1990,22.59
1991,13.24
1992,18.12
1993,20.16
1994,16.31
1995,16.07
1996,12.39
1997,16.3
1998,23.75
1999,22.99
2000,23.33
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
